SITE_ID,DATEON,DATEOFF,variable_SO2,variable_SO4,variable_HNO3,variable_NO3,variable_TNO3,variable_NH4,variable_CA,variable_K,variable_MG,variable_Sodium,days_on_to_off,valid_on_off,days_to_next,valid_interval,imputation_data
ABT147,2002-06-18,2002-06-25,3.603,6.639,4.467,0.226,4.621,2.309,0.12,0.067,0.031,0.119,7,True,7.0,True,False
ABT147,2002-06-25,2002-07-02,3.74,6.65,3.606,0.222,3.77,2.194,0.132,0.093,0.042,0.171,7,True,7.0,True,False
ABT147,2002-07-02,2002-07-09,2.565,4.555,2.288,0.543,2.794,1.642,0.349,0.252,0.064,0.067,7,True,7.0,True,False
ABT147,2002-07-09,2002-07-16,2.658,4.023,2.98,0.135,3.067,1.374,0.122,0.086,0.032,0.121,7,True,7.0,True,False
ABT147,2002-07-16,2002-07-23,1.759,5.546,3.218,0.361,3.528,1.775,0.185,0.075,0.058,0.239,7,True,7.0,True,False
ABT147,2002-07-23,2002-07-30,1.981,5.053,2.849,0.071,2.875,1.277,0.094,0.076,0.073,0.527,7,True,7.0,True,False
ABT147,2002-07-30,2002-08-06,1.794,4.05,2.271,0.108,2.343,1.306,0.103,0.053,0.025,0.069,7,True,7.0,True,False
ABT147,2002-08-06,2002-08-13,3.604,3.879,2.687,0.36,3.004,1.254,0.142,0.043,0.038,0.165,7,True,7.0,True,False
ABT147,2002-08-13,2002-08-20,5.959,11.081,4.97,0.246,5.136,3.496,0.195,0.076,0.081,0.465,7,True,7.0,True,False
ABT147,2002-08-20,2002-08-27,1.427,1.838,1.823,0.394,2.187,0.635,0.065,0.046,0.026,0.157,7,True,7.0,True,False
ABT147,2002-08-27,2002-09-03,0.885,1.043,0.634,0.623,1.248,0.278,0.078,0.06,0.075,0.649,7,True,7.0,True,False
ABT147,2002-09-03,2002-09-10,2.398,2.809,2.675,0.494,3.127,0.991,0.16,0.06,0.028,0.079,7,True,7.0,True,False
ABT147,2002-09-10,2002-09-17,2.66,3.612,2.104,0.628,2.699,1.098,0.14,0.053,0.053,0.303,7,True,7.0,True,False
ABT147,2002-09-17,2002-09-24,1.016,2.307,1.492,0.468,1.936,0.593,0.087,0.057,0.052,0.353,7,True,7.0,True,False
ABT147,2002-09-24,2002-10-01,1.408,1.816,0.987,0.592,1.563,0.649,0.058,0.053,0.034,0.225,7,True,7.0,True,False
ABT147,2002-10-01,2002-10-08,3.025,5.254,2.307,0.537,2.807,1.486,0.118,0.077,0.089,0.623,7,True,7.0,True,False
ABT147,2002-10-08,2002-10-15,0.949,1.058,0.462,0.576,1.03,0.347,0.08,0.04,0.031,0.225,7,True,7.0,True,False
ABT147,2002-10-15,2002-10-22,2.77,1.634,0.92,0.743,1.648,0.618,0.074,0.037,0.028,0.196,7,True,7.0,True,False
ABT147,2002-10-22,2002-10-29,2.056,1.392,1.196,0.159,1.336,0.552,0.042,0.028,0.007,0.026,7,True,7.0,True,False
ABT147,2002-10-29,2002-11-05,2.986,1.326,1.317,0.776,2.072,0.684,0.049,0.039,0.011,0.055,7,True,7.0,True,False
ABT147,2002-11-05,2002-11-12,3.743,3.0,1.083,1.667,2.733,1.257,0.067,0.052,0.067,0.515,7,True,7.0,True,False
ABT147,2002-11-12,2002-11-19,3.966,1.777,1.062,0.903,1.948,0.816,0.065,0.037,0.019,0.091,7,True,7.0,True,False
ABT147,2002-11-19,2002-11-26,4.913,2.696,1.758,1.771,3.501,1.363,0.096,0.039,0.021,0.085,7,True,7.0,True,False
ABT147,2002-11-26,2002-12-03,8.507,1.822,1.365,1.498,2.841,0.894,0.143,0.04,0.031,0.187,7,True,7.0,True,False
ABT147,2002-12-03,2002-12-10,12.844,2.503,1.455,2.357,3.788,1.304,0.087,0.052,0.023,0.452,7,True,7.0,True,False
ABT147,2002-12-10,2002-12-17,2.458,0.384,0.342,0.369,0.705,0.197,0.02,0.012,0.007,0.07,7,True,7.0,True,False
ABT147,2002-12-17,2002-12-24,6.508,1.725,1.456,1.285,2.717,0.669,0.106,0.038,0.033,0.279,7,True,7.0,True,False
ABT147,2002-12-24,2002-12-31,4.565,1.933,1.493,0.485,1.954,0.652,0.052,0.031,0.014,0.242,7,True,7.0,True,False
