SITE_ID,LATITUDE,LONGITUDE
NE98,42.8292,-97.8541
MS99,30.4294,-88.4277
NH06,43.11,-70.95
NJ32,40.7876,-74.6763
NJ54,40.6414,-74.2084
NU15,82.5,-62.33
UT96,41.0467,-112.0248
NY95,43.1463,-77.5481
FL96,30.5499,-87.375
AL19,33.553,-86.8148
MN06,47.158,-94.1509
TW01,23.51,120.92
NC17,36.0672,-79.7344
TN07,36.0389,-85.733
ME93,46.6038,-68.4132
NJ98,40.3125,-74.8729
PA71,40.4603,-77.1692
CAN6,45.0503,-72.8617
OK22,36.895,-94.758
MN02,47.8638,-94.8352
NE25,42.248,-96.474
IL37,42.2869,-89.9997
WY26,42.5299,-108.72
PA98,41.3445,-75.8901
SK20,52.0229,-109.8615
PA02,40.7131,-79.5144
PA83,39.9869,-79.2544
SK21,52.8877,-102.5756
MA14,41.2897,-70.1751
CO09,40.2603,-105.8292
BC22,54.0294,-128.7019
NJ39,39.9894,-74.1344
NY94,43.6833,-74.9833
NY28,43.4336,-74.5002
NY93,44.434,-74.246
NY59,44.1461,-74.9025
BC23,54.3772,-128.5775
ME94,45.2436,-67.6308
NY92,42.9931,-78.7717
ON26,42.8836,-81.4803
ON25,49.3856,-82.1214
AK04,64.5055,-165.396
BC24,54.2226,-130.2696
NJ05,39.4649,-74.4488
OH52,41.6582,-82.827
KY29,37.9214,-83.0662
PA97,39.9883,-79.2515
MD06,38.4449,-76.1112
NC02,36.1054,-82.045
PA56,41.4268,-80.1452
OH99,39.9427,-81.3379
TX41,30.7015,-94.674
KS97,39.7603,-95.6358
MI95,44.1808,-85.7389
PA96,40.7209,-77.9317
NY91,41.9423,-74.5519
WY93,44.28,-108.0411
FL95,26.4303,-80.4739
SK27,55.5121,-106.7245
NS29,NULL,NULL
MA22,42.3501,-71.1044
OK98,36.9222,-94.8388
AR09,35.6246,-93.8688
AR15,35.9334,-93.8491
ID07,46.2745,-116.0216
MA98,42.2953,-71.134
SK28,54.2953,-109.2119
SK30,49.5523,-103.8557
NY90,44.6621,-75.002
NY89,42.0914,-77.2097
SK31,50.4606,-109.4622
ID14,42.5533,-114.3547
NE09,40.285,-96.8244
AB32,57.1894,-111.6406
CO86,39.9128,-105.1886
CO87,39.7386,-104.9399
CO06,39.7512,-104.9876
CO11,39.8003,-105.1
AK96,68.6257,-149.6069
CO85,40.011,-105.2422
FL94,29.6489,-82.4913
TT01,NULL,NULL
TT02,NULL,NULL
TT03,NULL,NULL
TT04,NULL,NULL
CO84,40.0138,-105.3462
TT09,NULL,NULL
OH32,40.37,-82.3955
OH16,41.5032,-81.6586
AB33,57.1491,-111.6426
NC98,35.9745,-79.099
WI01,46.6022,-90.6561
TN12,35.5622,-83.4972
NY56,40.7361,-73.8215
TT05,NULL,NULL
TT06,NULL,NULL
OK97,34.6339,-95.2961
OK05,34.0315,-95.5376
TB10,42.8544,-76.3505
WI06,43.041,-89.428
AB34,55.6214,-111.1727
WI94,43.1796,-90.1339
WY92,43.7927,-110.9593
AB35,53.6824,-112.868
MI94,46.464,-84.303
AB36,57.2592,-111.0386
CO83,40.5194,-104.96
MD97,38.0139,-75.5456
MD96,NULL,NULL
MD95,NULL,NULL
WI19,45.0698,-87.629
MD94,38.3228,-75.3197
WI93,NULL,NULL
WA04,46.2026,-117.9539
MD93,38.4162,-75.1665
MD92,38.1765,-75.7015
NC97,NULL,NULL
NC96,NULL,NULL
CO82,40.3199,-104.1598
CO81,40.4288,-104.8617
EX93,NULL,NULL
MN97,47.9641,-89.6517
IL69,38.5908,-90.1844
MD01,39.3375,-76.5891
OR07,43.4712,-119.6909
BM01,32.2647,-64.8789
TB11,42.8653,-76.5131
AK95,71.323,-156.6114
NY88,42.5183,-76.5624
MI14,45.4776,-84.9891
MS98,32.3357,-88.9653
CO80,40.1552,-103.1417
CA93,32.7252,-116.3644
WI92,46.583,-90.9676
TB12,42.8648,-76.5146
TN97,35.6127,-83.9296
TB13,42.8245,76.5208
TB15,42.8379,-76.513
NM96,NULL,NULL
AB38,54.4597,-110.1241
AB39,52.0551,-114.2068
AB40,55.1963,-119.3968
AB41,51.0278,-115.0341
AB42,58.7131,-111.1469
OK24,34.9783,-95.7958
OK96,33.8972,-94.8619
TT08,NULL,NULL
TB01,42.914,-76.4369
TB14,42.8298,-76.5292
AB37,55.1664,-113.2274
NE97,42.7467,-97.9278
KS08,38.9343,-95.2297
FL93,28.6443,-80.6832
YK10,37.1317,-86.148
01NS,44.4328,-65.2056
01TN,35.6331,-83.9422
10YK,37.1317,-86.148
UT13,37.1719,-113.0826
CO79,40.6523,-104.9963
CA54,33.8306,-117.9385
CA64,33.9994,-117.4158
CA08,33.572,-116.0638
CA03,34.2616,-118.4123
CA04,33.9014,-118.205
CA05,33.7937,-118.171
CA06,34.0664,-118.2269
CA07,33.8597,-118.2007
CA10,34.1,-117.492
CA11,34.0309,-117.6174
FL26,27.1722,-80.2236
MD91,39.5556,-75.3744
OK03,34.0534,-96.3482
TT07,NULL,NULL
04WA,46.2026,-117.9539
06NC,34.8846,-76.6207
UT95,40.7543,-109.4671
NV97,39.6367,-119.2889
TB02,42.8604,-76.4017
TB03,42.8461,-76.3806
TB04,42.7509,-76.3244
TB05,42.749,-76.3073
TB06,42.7536,-76.2655
TB07,42.7722,-76.2597
TB08,42.8545,-76.3498
TB09,42.9065,-76.3634
06WI,43.041,-89.428
11FL,25.39,-80.68
67NY,42.4014,-76.6589
83CA,36.4894,-118.8228
98AZ,32.0097,-109.3889
98CO,40.2878,-105.6628
